Year,Revenue($bn),Sales(mm)
2008,1.8,11.6
2009,13,20.7
2010,25.1,39.9
2011,45.9,72.3
2012,78.6,125
2013,91.2,150.2
2014,101.9,169.2
2015,155,231.2
2016,136.8,211.8
2017,141.2,216.7
2018,166.2,217.7
2019,142.3,187.2
2020,137.7,196.9
2021,191.9,242
2022,205.4,232.2
2023,200.5,231.3
