Year,Revenue($bn),Sales(mm)
2009,13.6,10.3
2010,17.2,13.4
2011,21.66,16.5
2012,23,18
2013,21.3,16.1
2014,23.9,18.8
2015,25.3,20.4
2016,22.7,18.3
2017,25.6,18.9
2018,25.2,18
2019,24.7,17.5
2020,28.4,20.2
2021,35.1,25.7
2022,40,26.1
2023,29.2,22.1
